sha_full	sha_short	date	status	surfaces	old_scope	new_type	new_scope	new_subject	old_subject	note
75813aeaad40189e3dcaa64a146cb5ec6adb1bb1	75813aea	2026-09-20	ok	customer-mobile	repo	chore	customer-mobile	chore(customer-mobile): remove untracked backup/scaffold files accidentally swept into the rebase	chore(repo): remove untracked backup/scaffold files accidentally swept into the rebase	
d0744fbcd885910268e6f5e32b44e95e8e4efd9c	d0744fbc	2026-09-20	needs_split	backend,cicd,repo	repo	docs			docs(repo): restore governance policy docs and CI gate lost in the history restore	
00679bd0ca828d404ff6a88baff93f12025accd8	00679bd0	2026-09-20	ok	repo	repo	fix	repo	fix(repo): gitignore local recovery backups and .claude tooling config	fix(repo): gitignore local recovery backups and .claude tooling config	
5b71a1dc7bf6057509e1eb7e35dda8eb5db01574	5b71a1dc	2026-09-19	ok	provider-mobile	provider-app	feat	provider-mobile	feat(provider-mobile): add Subscription screen (final of 6 backend-gap domains)	feat(provider-app): add Subscription screen (final of 6 backend-gap domains)	legacy scope
e559d8a1059b83334e5b54d25f894d3f52989386	e559d8a1	2026-09-19	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): add Subscription screen (final of 6 backend-gap domains)	feat(web-provider): add Subscription screen (final of 6 backend-gap domains)	legacy scope
b9d37bc0ec0906499011a884ba706421f0df2cec	b9d37bc0	2026-09-19	ok	provider-mobile	provider-app	fix	provider-mobile	fix(provider-mobile): add scrolling to Sheet/CenterModal, add Promotions screen	fix(provider-app): add scrolling to Sheet/CenterModal, add Promotions screen	legacy scope
7448acfe884c410a409ea3dee198e2ea88f68a63	7448acfe	2026-09-19	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): add the real Equipment screen with full CRUD + assign/retire	feat(mobile): add the real Equipment screen with full CRUD + assign/retire	legacy scope
fd2b573b8ff589ca3d5ebb4f1a2c073577ba1a2b	fd2b573b	2026-09-19	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): add the real Job Assignments screen	feat(mobile): add the real Job Assignments screen	legacy scope
4bbbc28d0bdbed5c17827af8d06deb1e52b664ef	4bbbc28d	2026-09-19	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): add the real Promotions screen	feat(web-provider): add the real Promotions screen	legacy scope
edfa4613a073851825aec4d0323641a943cc7f77	edfa4613	2026-09-19	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): add the real Equipment screen	feat(web-provider): add the real Equipment screen	legacy scope
13f96189f9cf38c3ba6159bc4f5caab427dff37c	13f96189	2026-09-19	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): add the real Job Assignments screen	feat(web-provider): add the real Job Assignments screen	legacy scope
4d8e75d9ae8471fda6a03f11f8e14e7e6aefade2	4d8e75d9	2026-09-19	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): add the real Disputes screen	feat(mobile): add the real Disputes screen	legacy scope
29d2febd282c9d72b52f8652d4c283a26683e853	29d2febd	2026-09-19	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): add the real Safety screen, wire it into Support and Profile	feat(mobile): add the real Safety screen, wire it into Support and Profile	legacy scope
72b3001b3df44e8d47a52ab225741a205664ef77	72b3001b	2026-09-19	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): add the real Support screen with ticket thread	feat(mobile): add the real Support screen with ticket thread	legacy scope
83ecbc86946c3d995be27e98f4744420f7be8e7f	83ecbc86	2026-09-19	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): add the real Disputes screen	feat(web-provider): add the real Disputes screen	legacy scope
46af85c2d22f9c6efd524e502ef291001e6617bf	46af85c2	2026-09-19	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): add the real Safety screen, wire it into Support	feat(web-provider): add the real Safety screen, wire it into Support	legacy scope
26327660b7613a12829c46b042c492da4abede87	26327660	2026-09-19	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire Support to real tickets + message thread	feat(web-provider): wire Support to real tickets + message thread	legacy scope
d93295b99bae09d0e2776a51ed3583dc2556704f	d93295b9	2026-09-19	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): add the real Customers screen (business-customer CRUD)	feat(mobile): add the real Customers screen (business-customer CRUD)	legacy scope
6481b0673252320154a7e73da4df1eb30702605f	6481b067	2026-09-19	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): add the real Team screen with full CRUD + deactivate	feat(mobile): add the real Team screen with full CRUD + deactivate	legacy scope
7457ccafa3557a3dd686dfe872eafb40372c3f04	7457ccaf	2026-09-19	needs_split	backend,provider-web	web-provider	feat			feat(web-provider): wire Customers to real business-customer CRUD	legacy scope
e0ac4dc667cdf26cfcacc10b940c166f387ac457	e0ac4dc6	2026-09-19	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire Team to real member CRUD, drop 3 unrelated panels	feat(web-provider): wire Team to real member CRUD, drop 3 unrelated panels	legacy scope
df5751527a66742e9da1ba8f5eb5b09de2ac7ae5	df575152	2026-09-19	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): add the real Portfolio screen with full CRUD	feat(mobile): add the real Portfolio screen with full CRUD	legacy scope
d9003f7660b391f962c16d2a70437f55d2f19ed4	d9003f76	2026-09-18	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): add the real Reviews screen (ratings_router, not reviews_router)	feat(mobile): add the real Reviews screen (ratings_router, not reviews_router)	legacy scope
ca8d072af396909a32ad272b8e1dd712175bd5af	ca8d072a	2026-09-18	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): add the real Performance screen (ranking + KPI history)	feat(mobile): add the real Performance screen (ranking + KPI history)	legacy scope
fa03c84f83977abe4b732a83f9ede5cdeecd7069	fa03c84f	2026-09-19	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire Portfolio to real CRUD, add postRaw/patchRaw/deleteRaw	feat(web-provider): wire Portfolio to real CRUD, add postRaw/patchRaw/deleteRaw	legacy scope
29f145242c63fa5f282ae8cc139727d4639f7399	29f14524	2026-09-18	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire Reviews to the real ratings domain, drop the reply UI	feat(web-provider): wire Reviews to the real ratings domain, drop the reply UI	legacy scope
83c71c437b4f607eaff6656334f217ba1e775306	83c71c43	2026-09-18	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire Performance to real ranking + KPI data	feat(web-provider): wire Performance to real ranking + KPI data	legacy scope
8616cbe204f7a4df3b45361db7ff909c36e19744	8616cbe2	2026-09-18	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): add the real Earnings screen, fix the same raw-envelope gap	feat(mobile): add the real Earnings screen, fix the same raw-envelope gap	legacy scope
f3237ce170f30d25947a8f0b5c87e721e303528f	f3237ce1	2026-09-18	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): build the real Notifications feed, wire the dead bell button	feat(mobile): build the real Notifications feed, wire the dead bell button	legacy scope
