sha_full	sha_short	date	kind	branch_ref	module_ref	old_subject	proposed_subject
768651bce9721f5101ecb5a87558db4717b1cd85	768651bc	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: add the real Subscription screen, final of 6 backend-gap domains)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
0a8fbe684fc2c47276e1af424902dd3c0ffd7f4f	0a8fbe68	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: add the real Promotions screen; fix Sheet/CenterModal overflow bug)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
1e03513b49d59dd32d600630ab693e8f43b8f8cc	1e03513b	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: add the real Equipment screen with assign/retire)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
477b12461869ae02fcb9175921354d251312f9d5	477b1246	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: add the real Job Assignments screen)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
1d3f3be2ec63ecac256016c18628a761a2315df1	1d3f3be2	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: add the real Disputes screen)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
204011664ba083c0b52fc77ad433db9fdb67b3bb	20401166	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: add the real Safety screen, wire it into Support)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
1d71ad04c9abfb1a12cc2dcb37bda6602850e9f9	1d71ad04	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: wire Support to real tickets + message thread)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
5e5d963309cc76e3fa9b644f3557cf34440aff0c	5e5d9633	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: wire Customers to real business-customer CRUD)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
34e646a4840266fee28f04aceddd54e0516985ef	34e646a4	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: wire Team to real member CRUD + deactivate)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
038f63757aaa068588fab556518233d26a88ed35	038f6375	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: wire Portfolio to real CRUD)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
5247eadd7c7f53c657e22462e62fa87289612d7f	5247eadd	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: wire Reviews to the real ratings domain, drop reply UI)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
8977ad569af573ab3b9a7be16ba0511ec097093b	8977ad56	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: wire Performance to real ranking + KPI data)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
0ceb1edec031abfefa58cfa9241a057d72b0ea99	0ceb1ede	2026-09-19	page->module	provider-subscription-parity	provider-frontend-domain-parity	Merge page/provider-subscription-parity into module/provider-frontend-domain-parity (web + mobile: add the real Subscription screen, final of 6 backend-gap domains)	Merge page/<<new-page>> into module/<<new-module>> (<<scope>>: <<feature>>)
11611114d95ef414c65b538c4527d37a511d150b	11611114	2026-09-19	page->module	provider-promotions-parity	provider-frontend-domain-parity	Merge page/provider-promotions-parity into module/provider-frontend-domain-parity (web + mobile: add the real Promotions screen; fix Sheet/CenterModal overflow bug)	Merge page/<<new-page>> into module/<<new-module>> (<<scope>>: <<feature>>)
c4e121be37e87d77baf3f28fdcf83ec80f9501f7	c4e121be	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web + mobile: wire Earnings to the real backend, drop fabricated panels)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
b80cb67dd6d321f4e5da4d1d36bb547025439ac3	b80cb67d	2026-09-19	module->dev	provider-frontend-domain-parity	provider-frontend-domain-parity	Merge module/provider-frontend-domain-parity into dev (web: wire Notifications side panels; mobile: build the real Notifications feed)	Merge module/<<new-module>> into dev (<<scope>>: <<feature>>)
